round,strategy,n_measured,n_new,best_fitness,best_variant,batch_max_fitness,batch_mean_fitness,batch_median_fitness,n_above_wt,n_hits_in_batch,hit_rate,cum_hits,n_above_wt_in_batch,frac_above_wt_in_batch,n_dead_in_batch,batch_pred_mae,n_unique_p40,touch_pos39,touch_pos40,touch_pos41,touch_pos54,model_spearman,model_recall@100,improvement_over_start,backend,n_rejected
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4687850907063947,0.42,0.0,,
1,Random,2180,12,5.3907325057,VWGF,0.0698005097142,0.0093417887272225,0.001580794448165,218,0,0.0,0,0,0.0,12,0.042624039842126614,10,11,12,12,12,0.4836916704849654,0.4,0.0,model,0.0
2,Random,2192,12,5.3907325057,VWGF,0.015550827507,0.006114756749329166,0.0038594350471099995,218,0,0.0,0,0,0.0,12,0.024707535263384293,10,11,12,12,11,0.48136843677800606,0.39,0.0,model,0.0
3,Random,2204,12,5.3907325057,VWGF,3.39939469425,0.5962194500844642,0.01052384627136,221,0,0.0,0,3,0.25,9,0.41046065746692445,10,11,10,11,11,0.48557995156570144,0.4,0.0,model,0.0
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4687850907063947,0.42,0.0,,
1,Model-Greedy,2180,12,5.39974965458,VNAA,5.39974965458,4.162202050395,4.2539696422399995,230,1,0.08333333333333333,1,12,1.0,0,0.7491722958608941,4,8,8,9,12,0.461837048837277,0.46,0.009017148879999937,model,0.0
2,Model-Greedy,2192,12,5.49647079356,IRAA,5.49647079356,4.337275771095834,4.044986822765,242,1,0.08333333333333333,2,12,1.0,0,0.47455480687110346,6,9,12,8,12,0.4726411461587176,0.42,0.10573828786000039,model,0.0
3,Model-Greedy,2204,12,5.77203220934,IWGF,5.77203220934,4.413741118573333,4.56451808756,254,2,0.16666666666666666,4,12,1.0,0,0.8955618292583365,7,11,12,8,12,0.4648884858425101,0.35,0.3812997036399999,model,0.0
0,LLM-Agent,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4687850907063947,0.42,0.0,,
1,LLM-Agent,2180,12,8.04515200416,FYAA,8.04515200416,4.576217673158333,4.20849226203,230,3,0.25,3,12,1.0,0,1.1481573222208283,4,10,10,6,12,0.4716474181709693,0.43,2.6544194984600002,api,0.0
2,LLM-Agent,2192,12,8.76196565571,FWAA,8.76196565571,4.065418047484333,4.380728045015,241,2,0.16666666666666666,5,11,0.9166666666666666,0,1.1040643867543818,4,11,12,7,12,0.4701703455879741,0.46,3.37123315001,api,0.0
3,LLM-Agent,2204,12,8.76196565571,FWAA,6.92825718021,4.050502094776667,3.86254388549,253,2,0.16666666666666666,7,12,1.0,0,0.3902044550223846,5,12,12,6,12,0.4679808847915812,0.5,3.37123315001,api,0.0
0,LLM-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4687850907063947,0.42,0.0,,
1,LLM-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.413968102364167,4.051765325345,230,3,0.25,3,12,1.0,0,1.2156326259225843,4,10,9,7,12,0.4824556191461445,0.42,2.6544194984600002,api,2.0
2,LLM-Agent+KB,2192,12,8.76196565571,FWAA,8.76196565571,4.264201526331667,4.337177442085,242,2,0.16666666666666666,5,12,1.0,0,2.000919533051681,6,11,12,11,12,0.47865641819329746,0.44,3.37123315001,api,1.0
3,LLM-Agent+KB,2204,12,8.76196565571,FWAA,6.92825718021,4.612943926273334,5.05459563191,254,4,0.3333333333333333,9,12,1.0,0,0.9652125101697949,5,11,9,8,12,0.4715599440452063,0.43,3.37123315001,api,6.0
