round,strategy,n_measured,n_new,best_fitness,best_variant,batch_max_fitness,batch_mean_fitness,batch_median_fitness,n_above_wt,n_hits_in_batch,hit_rate,cum_hits,n_above_wt_in_batch,frac_above_wt_in_batch,n_dead_in_batch,batch_pred_mae,n_unique_p40,touch_pos39,touch_pos40,touch_pos41,touch_pos54,model_spearman,model_recall@100,improvement_over_start,backend,n_rejected,seed
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.48238374113282767,0.44,0.0,,,11
1,Random,2180,12,5.3907325057,VWGF,0.100922158167,0.010812225687159166,0.0019424417447550001,218,0,0.0,0,0,0.0,11,0.039304224285876856,9,12,11,12,12,0.5003923393373589,0.44,0.0,model,0.0,11
2,Random,2192,12,5.3907325057,VWGF,0.00799578413962,0.0031502463041958337,0.00316640134405,218,0,0.0,0,0,0.0,12,0.013262423923072015,11,11,11,12,12,0.5114025315570447,0.46,0.0,model,0.0,11
3,Random,2204,12,5.3907325057,VWGF,2.74868469364,0.3616795086607858,0.002056549302905,220,0,0.0,0,2,0.16666666666666666,10,0.20132370465991734,8,10,12,12,12,0.5175130909272267,0.45,0.0,model,0.0,11
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4792499807998502,0.45,0.0,,,22
1,Random,2180,12,5.3907325057,VWGF,0.583071638455,0.055464226101017415,0.00537899396923,218,0,0.0,0,0,0.0,11,0.03305000957599029,9,12,11,11,12,0.4742276646855747,0.42,0.0,model,0.0,22
2,Random,2192,12,5.3907325057,VWGF,2.15673592712,0.18640395329789747,0.0031186868854999996,219,0,0.0,0,1,0.08333333333333333,11,0.026339882675630935,10,12,12,11,12,0.4777502130898918,0.4,0.0,model,0.0,22
3,Random,2204,12,5.3907325057,VWGF,0.28136632865,0.02715629409857992,0.003179228221015,219,0,0.0,0,0,0.0,11,0.015784613805920028,11,12,12,12,12,0.483902870790132,0.42,0.0,model,0.0,22
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47850693389199184,0.43,0.0,,,33
1,Random,2180,12,5.3907325057,VWGF,0.135002356879,0.02364192490370742,0.00619575354554,218,0,0.0,0,0,0.0,10,0.020475716703135204,10,11,12,11,11,0.4843481678623264,0.41,0.0,model,0.0,33
2,Random,2192,12,5.3907325057,VWGF,0.049833333602,0.0072571562577724985,0.00209144732079,218,0,0.0,0,0,0.0,12,0.009128793789593794,9,11,11,12,12,0.47871848839557385,0.37,0.0,model,0.0,33
3,Random,2204,12,5.3907325057,VWGF,2.05908565925,0.17446493331546165,0.0030430857878499997,219,0,0.0,0,1,0.08333333333333333,11,0.10998636715682202,8,12,12,10,12,0.492751859843022,0.4,0.0,model,0.0,33
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4721232263942086,0.4,0.0,,,44
1,Random,2180,12,5.3907325057,VWGF,3.47422528509,0.2939297888295169,0.00394410441035,219,0,0.0,0,1,0.08333333333333333,11,0.29226942074642764,8,11,12,12,12,0.48209342209595785,0.51,0.0,model,0.0,44
2,Random,2192,12,5.3907325057,VWGF,0.00813303664128,0.0023652372723476666,0.00183044295281,219,0,0.0,0,0,0.0,12,0.016595836019028566,9,12,12,12,12,0.4871046066622923,0.54,0.0,model,0.0,44
3,Random,2204,12,5.3907325057,VWGF,1.18143684046,0.12846651970591663,0.00286369426194,220,0,0.0,0,1,0.08333333333333333,10,0.06370628073569183,8,12,12,12,12,0.49099948589847475,0.55,0.0,model,0.0,44
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4856173667587159,0.45,0.0,,,55
1,Random,2180,12,5.3907325057,VWGF,2.87874512134,0.2530120281115667,0.00277998619144,219,0,0.0,0,1,0.08333333333333333,10,0.20292058250615408,10,11,12,12,11,0.4908492853670314,0.41,0.0,model,0.0,55
2,Random,2192,12,5.3907325057,VWGF,0.0987506132775,0.015627930387358335,0.00293066367998,219,0,0.0,0,0,0.0,12,0.016091656106868947,10,12,11,11,12,0.4848605625668532,0.45,0.0,model,0.0,55
3,Random,2204,12,5.3907325057,VWGF,1.33073457508,0.11443940158810832,0.00359808451509,220,0,0.0,0,1,0.08333333333333333,11,0.08239840780393728,7,11,12,10,11,0.49304252136009075,0.42,0.0,model,0.0,55
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4789613156015579,0.41,0.0,,,66
1,Random,2180,12,5.3907325057,VWGF,0.013103585728,0.00266256187719175,0.00206663698089,218,0,0.0,0,0,0.0,12,0.007223956359640577,8,12,12,12,12,0.4908963036960687,0.41,0.0,model,0.0,66
2,Random,2192,12,5.3907325057,VWGF,1.63906903129,0.14182207260922083,0.00282913375612,219,0,0.0,0,1,0.08333333333333333,11,0.12253891436126994,11,11,11,12,11,0.49629831549376685,0.39,0.0,model,0.0,66
3,Random,2204,12,5.3907325057,VWGF,3.40713938619,0.32578803703138,0.005206482890995,220,0,0.0,0,1,0.08333333333333333,10,0.29484718675943317,11,12,12,12,11,0.5020077456738176,0.38,0.0,model,0.0,66
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47403976486379407,0.48,0.0,,,77
1,Random,2180,12,5.3907325057,VWGF,0.266815973661,0.024280090424720832,0.00269540990613,218,0,0.0,0,0,0.0,11,0.05518400038365115,10,11,12,11,12,0.4803870357386629,0.42,0.0,model,0.0,77
2,Random,2192,12,5.3907325057,VWGF,0.0619105885691,0.0074345356240525,0.002466838114665,218,0,0.0,0,0,0.0,12,0.00819767254195734,7,11,12,12,12,0.4968875745414971,0.44,0.0,model,0.0,77
3,Random,2204,12,5.3907325057,VWGF,0.450279764333,0.04204066928152833,0.004033948314925,218,0,0.0,0,0,0.0,11,0.027650878004393194,6,12,8,12,12,0.49066745837408476,0.45,0.0,model,0.0,77
0,Random,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.46623584329714446,0.41,0.0,,,88
1,Random,2180,12,5.3907325057,VWGF,0.209185087367,0.026858467521345585,0.006296000901665,218,0,0.0,0,0,0.0,11,0.023596627940786995,8,11,12,11,12,0.4782058590584711,0.43,0.0,model,0.0,88
2,Random,2192,12,5.3907325057,VWGF,0.0436570062046,0.010037638136429166,0.0031527105663650004,218,0,0.0,0,0,0.0,12,0.015413379465083912,7,11,12,10,12,0.4891785271139364,0.44,0.0,model,0.0,88
3,Random,2204,12,5.3907325057,VWGF,0.218677241322,0.02508890158239425,0.00641057672429,218,0,0.0,0,0,0.0,11,0.018800373497337795,9,12,11,12,10,0.48117057390495693,0.41,0.0,model,0.0,88
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.48238374113282767,0.44,0.0,,,11
1,Model-Greedy,2180,12,5.3907325057,VWGF,4.4857497292,3.4364301612716663,3.52267012041,230,0,0.0,0,12,1.0,0,0.9856034565359515,4,12,6,7,12,0.4750349717258606,0.45,0.0,model,0.0,11
2,Model-Greedy,2192,12,5.39974965458,VNAA,5.39974965458,4.133589994575,4.045138365325,242,1,0.08333333333333333,1,12,1.0,0,0.6840418024612366,7,10,11,5,11,0.472554096142281,0.44,0.009017148879999937,model,0.0,11
3,Model-Greedy,2204,12,5.77203220934,IWGF,5.77203220934,4.575578893557499,4.94257274238,254,2,0.16666666666666666,3,12,1.0,0,0.9302306450063828,6,10,12,8,12,0.4761441632623195,0.41,0.3812997036399999,model,0.0,11
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4792499807998502,0.45,0.0,,,22
1,Model-Greedy,2180,12,5.44061456678,FYGA,5.44061456678,3.844322314910834,4.012033047245,230,2,0.16666666666666666,2,12,1.0,0,0.6659093258368304,5,8,8,8,12,0.4787073783094741,0.49,0.04988206107999993,model,0.0,22
2,Model-Greedy,2192,12,8.04515200416,FYAA,8.04515200416,4.887830074608333,4.803425304255001,242,2,0.16666666666666666,4,12,1.0,0,0.8456814495496578,5,9,11,11,12,0.4647781238451308,0.43,2.6544194984600002,model,0.0,22
3,Model-Greedy,2204,12,8.76196565571,FWAA,8.76196565571,5.3455035655191665,5.143866511444999,254,4,0.3333333333333333,8,12,1.0,0,1.2558510960081275,6,10,11,9,12,0.4682168543329644,0.38,3.37123315001,model,0.0,22
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47850693389199184,0.43,0.0,,,33
1,Model-Greedy,2180,12,5.77203220934,IWGF,5.77203220934,3.9299859384216664,4.133439111755,230,1,0.08333333333333333,1,12,1.0,0,0.938905908332123,7,9,9,7,12,0.4810715780620505,0.42,0.3812997036399999,model,0.0,33
2,Model-Greedy,2192,12,5.77203220934,IWGF,5.15691840607,4.065562908365,4.146866645135,242,0,0.0,1,12,1.0,0,0.532392648460641,5,11,10,7,12,0.47454871866348086,0.4,0.3812997036399999,model,0.0,33
3,Model-Greedy,2204,12,6.04207763853,IWAA,6.04207763853,4.5860580776874995,4.662728029665001,254,4,0.3333333333333333,5,12,1.0,0,1.0514351889632758,9,10,11,10,12,0.47934319200763864,0.43,0.6513451328300004,model,0.0,33
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4721232263942086,0.4,0.0,,,44
1,Model-Greedy,2180,12,5.77203220934,IWGF,5.77203220934,4.643874471655834,4.607926518215,230,3,0.25,3,12,1.0,0,0.8516058400274004,6,7,10,8,12,0.46437870438579154,0.41,0.3812997036399999,model,0.0,44
2,Model-Greedy,2192,12,5.77203220934,IWGF,5.73818058649,4.206440198239167,4.228567351395,242,1,0.08333333333333333,4,12,1.0,0,0.755797934823922,6,10,10,9,12,0.46720441788550493,0.41,0.3812997036399999,model,0.0,44
3,Model-Greedy,2204,12,5.77203220934,IWGF,5.33546016514,4.478224955221667,4.581924643104999,254,0,0.0,4,12,1.0,0,0.5172928308645862,6,9,12,12,12,0.46840215468823243,0.36,0.3812997036399999,model,0.0,44
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4856173667587159,0.45,0.0,,,55
1,Model-Greedy,2180,12,5.77203220934,IWGF,5.77203220934,4.312164979359167,4.24168210857,230,3,0.25,3,12,1.0,0,1.0163540095789891,5,10,12,2,12,0.47188321788324783,0.43,0.3812997036399999,model,0.0,55
2,Model-Greedy,2192,12,5.77203220934,IWGF,4.99141708635,3.7587754516991665,3.85272473976,242,0,0.0,3,12,1.0,0,0.817913393758993,6,11,8,6,12,0.464232570301485,0.4,0.3812997036399999,model,0.0,55
3,Model-Greedy,2204,12,5.77203220934,IWGF,4.42267539863,3.6788883925366664,3.92040165936,254,0,0.0,3,12,1.0,0,0.4740008304787607,8,11,10,6,12,0.47284790697683643,0.45,0.3812997036399999,model,0.0,55
0,Model-Greedy,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4789613156015579,0.41,0.0,,,66
1,Model-Greedy,2180,12,5.77203220934,IWGF,5.77203220934,4.224448065929166,4.129446139855,230,2,0.16666666666666666,2,12,1.0,0,0.8093510269029265,5,10,8,9,12,0.48174146974994697,0.42,0.3812997036399999,model,0.0,66
2,Model-Greedy,2192,12,5.77203220934,IWGF,5.49647079356,4.438666010808334,4.4198514162,242,1,0.08333333333333333,3,12,1.0,0,0.7665050772943047,5,10,11,6,12,0.47422659037554254,0.36,0.3812997036399999,model,0.0,66
3,Model-Greedy,2204,12,5.77203220934,IWGF,5.73818058649,4.3498800773658335,4.211006786745,254,3,0.25,6,12,1.0,0,0.9157316316277809,6,11,11,6,12,0.4764293346949986,0.35,0.3812997036399999,model,0.0,66
